id	skinId	Star	skills
1	1001	1	10101,10111,101061
2	1001	2	10101,10111,101061
3	1001	3	10101,10111,101061
4	1001	4	10101,10111,101061
5	1001	5	10101,10111,101061
6	1001	6	10102,10111,101061
7	1001	7	10102,10112,101061
8	1001	8	10102,10112,101062
9	1001	9	10102,10112,101062
10	1001	10	10103,10112,101062
11	1001	11	10103,10113,101062
12	1001	12	10103,10113,101063
13	1001	13	10103,10113,101063
14	2001	1	10201,12411,10221
15	2001	2	10201,12411,10221
16	2001	3	10201,12411,10221
17	2001	4	10201,12411,10221
18	2001	5	10201,12411,10221
19	2001	6	10202,12411,10221
20	2001	7	10202,12412,10221
21	2001	8	10202,12412,10222
22	2001	9	10202,12412,10222
23	2001	10	10203,12412,10222
24	2001	11	10203,12413,10222
25	2001	12	10203,12413,10223
26	2001	13	10203,12413,10223
27	3001	1	10301,12411,10321
28	3001	2	10301,12411,10321
29	3001	3	10301,12411,10321
30	3001	4	10301,12411,10321
31	3001	5	10301,12411,10321
32	3001	6	10302,12411,10321
33	3001	7	10302,12412,10321
34	3001	8	10302,12412,10322
35	3001	9	10302,12412,10322
36	3001	10	10303,12412,10322
37	3001	11	10303,12413,10322
38	3001	12	10303,12413,10323
39	3001	13	10303,12413,10323
40	4001	1	10401,12411,10421
41	4001	2	10401,12411,10421
42	4001	3	10401,12411,10421
43	4001	4	10401,12411,10421
44	4001	5	10401,12411,10421
45	4001	6	10402,12411,10421
46	4001	7	10402,12412,10421
47	4001	8	10402,12412,10422
48	4001	9	10402,12412,10422
49	4001	10	10403,12412,10422
50	4001	11	10403,12413,10422
51	4001	12	10403,12413,10423
52	4001	13	10403,12413,10423
53	5001	1	10501,12411,10521
54	5001	2	10501,12411,10521
55	5001	3	10501,12411,10521
56	5001	4	10501,12411,10521
57	5001	5	10501,12411,10521
58	5001	6	10502,12411,10521
59	5001	7	10502,12412,10521
60	5001	8	10502,12412,10522
61	5001	9	10502,12412,10522
62	5001	10	10503,12412,10522
63	5001	11	10503,12413,10522
64	5001	12	10503,12413,10523
65	5001	13	10503,12413,10523
66	6001	1	10601,10611,106061
67	6001	2	10601,10611,106061
68	6001	3	10601,10611,106061
69	6001	4	10601,10611,106061
70	6001	5	10601,10611,106061
71	6001	6	10602,10611,106061
72	6001	7	10602,10612,106061
73	6001	8	10602,10612,106062
74	6001	9	10602,10612,106062
75	6001	10	10603,10612,106062
76	6001	11	10603,10613,106062
77	6001	12	10603,10613,106063
78	6001	13	10603,10613,106063
79	7001	1	10701,12411,10721
80	7001	2	10701,12411,10721
81	7001	3	10701,12411,10721
82	7001	4	10701,12411,10721
83	7001	5	10701,12411,10721
84	7001	6	10702,12411,10721
85	7001	7	10702,12412,10721
86	7001	8	10702,12412,10722
87	7001	9	10702,12412,10722
88	7001	10	10703,12412,10722
89	7001	11	10703,12413,10722
90	7001	12	10703,12413,10723
91	7001	13	10703,12413,10723
92	8001	1	10801,12411,10821
93	8001	2	10801,12411,10821
94	8001	3	10801,12411,10821
95	8001	4	10801,12411,10821
96	8001	5	10801,12411,10821
97	8001	6	10802,12411,10821
98	8001	7	10802,12412,10821
99	8001	8	10802,12412,10822
100	8001	9	10802,12412,10822
101	8001	10	10803,12412,10822
102	8001	11	10803,12413,10822
103	8001	12	10803,12413,10823
104	8001	13	10803,12413,10823
105	9001	1	10901,12411,10921
106	9001	2	10901,12411,10921
107	9001	3	10901,12411,10921
108	9001	4	10901,12411,10921
109	9001	5	10901,12411,10921
110	9001	6	10902,12411,10921
111	9001	7	10902,12412,10921
112	9001	8	10902,12412,10922
113	9001	9	10902,12412,10922
114	9001	10	10903,12412,10922
115	9001	11	10903,12413,10922
116	9001	12	10903,12413,10923
117	9001	13	10903,12413,10923
118	10001	1	11001,12411,11021
119	10001	2	11001,12411,11021
120	10001	3	11001,12411,11021
121	10001	4	11001,12411,11021
122	10001	5	11001,12411,11021
123	10001	6	11002,12411,11021
124	10001	7	11002,12412,11021
125	10001	8	11002,12412,11022
126	10001	9	11002,12412,11022
127	10001	10	11003,12412,11022
128	10001	11	11003,12413,11022
129	10001	12	11003,12413,11023
130	10001	13	11003,12413,11023
131	11001	1	11101,12411,11121
132	11001	2	11101,12411,11121
133	11001	3	11101,12411,11121
134	11001	4	11101,12411,11121
135	11001	5	11101,12411,11121
136	11001	6	11102,12411,11121
137	11001	7	11102,12412,11121
138	11001	8	11102,12412,11122
139	11001	9	11102,12412,11122
140	11001	10	11103,12412,11122
141	11001	11	11103,12413,11122
142	11001	12	11103,12413,11123
143	11001	13	11103,12413,11123
144	12001	1	11201,12411,11221
145	12001	2	11201,12411,11221
146	12001	3	11201,12411,11221
147	12001	4	11201,12411,11221
148	12001	5	11201,12411,11221
149	12001	6	11202,12411,11221
150	12001	7	11202,12412,11221
151	12001	8	11202,12412,11222
152	12001	9	11202,12412,11222
153	12001	10	11203,12412,11222
154	12001	11	11203,12413,11222
155	12001	12	11203,12413,11223
156	12001	13	11203,12413,11223
157	13001	1	11301,10111,11321
158	13001	2	11301,10111,11321
159	13001	3	11301,10111,11321
160	13001	4	11301,10111,11321
161	13001	5	11301,10111,11321
162	13001	6	11302,10111,11321
163	13001	7	11302,10112,11321
164	13001	8	11302,10112,11322
165	13001	9	11302,10112,11322
166	13001	10	11303,10112,11322
167	13001	11	11303,10113,11322
168	13001	12	11303,10113,11323
169	13001	13	11303,10113,11323
170	14001	1	11401,114061,11421
171	14001	2	11401,114061,11421
172	14001	3	11401,114061,11421
173	14001	4	11401,114061,11421
174	14001	5	11401,114061,11421
175	14001	6	11402,114061,11421
176	14001	7	11402,114062,11421
177	14001	8	11402,114062,11422
178	14001	9	11402,114062,11422
179	14001	10	11403,114062,11422
180	14001	11	11403,114063,11422
181	14001	12	11403,114063,11423
182	14001	13	11403,114063,11423
183	15001	1	11501,10111,11521
184	15001	2	11501,10111,11521
185	15001	3	11501,10111,11521
186	15001	4	11501,10111,11521
187	15001	5	11501,10111,11521
188	15001	6	11502,10111,11521
189	15001	7	11502,10112,11521
190	15001	8	11502,10112,11522
191	15001	9	11502,10112,11522
192	15001	10	11503,10112,11522
193	15001	11	11503,10113,11522
194	15001	12	11503,10113,11523
195	15001	13	11503,10113,11523
196	16001	1	11601,10111,11621
197	16001	2	11601,10111,11621
198	16001	3	11601,10111,11621
199	16001	4	11601,10111,11621
200	16001	5	11601,10111,11621
201	16001	6	11602,10111,11621
202	16001	7	11602,10112,11621
203	16001	8	11602,10112,11622
204	16001	9	11602,10112,11622
205	16001	10	11603,10112,11622
206	16001	11	11603,10113,11622
207	16001	12	11603,10113,11623
208	16001	13	11603,10113,11623
209	17001	1	11701,11711,117061
210	17001	2	11701,11711,117061
211	17001	3	11701,11711,117061
212	17001	4	11701,11711,117061
213	17001	5	11701,11711,117061
214	17001	6	11702,11711,117061
215	17001	7	11702,11712,117061
216	17001	8	11702,11712,117062
217	17001	9	11702,11712,117062
218	17001	10	11703,11712,117062
219	17001	11	11703,11713,117062
220	17001	12	11703,11713,117063
221	17001	13	11703,11713,117063
222	18001	1	11801,10111,11821
223	18001	2	11801,10111,11821
224	18001	3	11801,10111,11821
225	18001	4	11801,10111,11821
226	18001	5	11801,10111,11821
227	18001	6	11802,10111,11821
228	18001	7	11802,10112,11821
229	18001	8	11802,10112,11822
230	18001	9	11802,10112,11822
231	18001	10	11803,10112,11822
232	18001	11	11803,10113,11822
233	18001	12	11803,10113,11823
234	18001	13	11803,10113,11823
235	19001	1	11901,10111,11921
236	19001	2	11901,10111,11921
237	19001	3	11901,10111,11921
238	19001	4	11901,10111,11921
239	19001	5	11901,10111,11921
240	19001	6	11902,10111,11921
241	19001	7	11902,10112,11921
242	19001	8	11902,10112,11922
243	19001	9	11902,10112,11922
244	19001	10	11903,10112,11922
245	19001	11	11903,10113,11922
246	19001	12	11903,10113,11923
247	19001	13	11903,10113,11923
248	20001	1	12001,10111,12021
249	20001	2	12001,10111,12021
